type;:LABEL;open_date;:ID;closed_date
Furto Auto;Claim;2023-01-09T20:34:35.668112;1620;
Furto Auto;Claim;2022-04-08T20:37:42.668112;1623;2022-04-13T20:42:48.668112
Incendio doloso Auto;Claim;2022-03-13T20:37:57.669112;1626;2022-03-18T20:47:08.669112
Incendio doloso Auto;Claim;2022-01-28T20:37:55.670620;1629;2022-02-02T20:43:36.670620
Incidente Auto;Claim;2022-06-23T20:32:51.670620;1632;
Furto Auto;Claim;2022-04-04T20:37:42.670620;1635;2022-04-09T20:46:57.670620
Furto Auto;Claim;2022-06-23T20:33:22.670620;1638;
Incendio doloso Auto;Claim;2022-09-05T20:36:22.670620;1641;
Furto in Casa;Claim;2022-02-12T20:34:41.670620;1644;
Furto Auto;Claim;2022-07-20T20:32:36.670620;1647;2022-07-25T20:37:46.670620
Furto Auto;Claim;2023-01-03T20:34:59.672631;1650;
Furto in Casa;Claim;2022-07-13T20:36:40.672631;1653;
Furto Auto;Claim;2022-09-30T20:37:26.672631;1656;
Furto in Casa;Claim;2022-04-12T20:33:40.672631;1659;2022-04-17T20:42:27.672631
Incidente Auto;Claim;2022-07-21T20:38:07.673628;1662;
Incidente Auto;Claim;2022-02-22T20:32:42.673628;1665;2022-02-27T20:40:54.673628
Incendio doloso Casa;Claim;2022-06-20T20:32:29.673628;1668;
Incendio doloso Casa;Claim;2022-12-04T20:34:06.673628;1671;2022-12-09T20:42:59.673628
Furto Auto;Claim;2023-01-15T20:32:23.673628;1674;
Incendio doloso Auto;Claim;2022-05-12T20:32:49.675629;1677;
Incendio doloso Casa;Claim;2022-10-28T20:34:18.675629;1680;
Incendio doloso Casa;Claim;2022-07-08T20:37:32.675629;1683;
Incidente Auto;Claim;2022-05-27T20:32:28.675629;1686;2022-06-01T20:41:59.675629
Incidente Auto;Claim;2022-05-03T20:33:32.676631;1689;2022-05-08T20:40:35.676631
Incendio doloso Auto;Claim;2022-01-25T20:34:17.676631;1692;
Furto Auto;Claim;2022-06-07T20:34:40.676631;1695;
Furto in Casa;Claim;2023-01-19T20:33:00.676631;1698;
Incendio doloso Auto;Claim;2022-04-30T20:37:34.676631;1701;2022-05-05T20:44:45.676631
Incendio doloso Auto;Claim;2022-10-07T20:35:22.676631;1704;
Incendio doloso Auto;Claim;2022-03-09T20:34:19.682669;1707;2022-03-14T20:41:20.682669
Incidente Auto;Claim;2022-08-29T20:37:59.682669;1710;2022-09-03T20:44:11.682669
Furto in Casa;Claim;2022-08-18T20:34:59.682669;1713;2022-08-23T20:41:35.682669
Incendio doloso Casa;Claim;2022-06-28T20:33:49.682669;1716;
Incendio doloso Auto;Claim;2022-09-17T20:33:31.682669;1719;
Incendio doloso Casa;Claim;2022-08-17T20:38:06.683665;1722;2022-08-22T20:48:31.683665
Furto Auto;Claim;2022-08-04T20:36:31.683665;1725;2022-08-09T20:45:36.683665
Furto Auto;Claim;2022-03-18T20:36:16.683665;1728;
Incendio doloso Casa;Claim;2022-10-04T20:33:35.683665;1731;2022-10-09T20:43:57.683665
Incidente Auto;Claim;2022-04-21T20:33:01.683665;1734;2022-04-26T20:40:11.683665
Furto in Casa;Claim;2022-11-07T20:37:58.683665;1737;2022-11-12T20:45:17.683665
Incidente Auto;Claim;2022-12-01T20:36:10.683665;1740;
Furto in Casa;Claim;2022-05-02T20:34:51.683665;1743;
Incendio doloso Auto;Claim;2022-04-20T20:36:49.683665;1746;
Incendio doloso Auto;Claim;2022-08-14T20:32:27.684663;1749;
Incendio doloso Auto;Claim;2022-09-18T20:35:26.684663;1752;
Incendio doloso Casa;Claim;2022-06-16T20:37:27.684663;1755;
Incendio doloso Casa;Claim;2022-10-24T20:35:12.684663;1758;
Incendio doloso Casa;Claim;2022-08-05T20:32:47.684663;1761;
Incendio doloso Auto;Claim;2022-03-12T20:35:34.684663;1764;2022-03-17T20:43:29.684663
Incendio doloso Auto;Claim;2022-03-19T20:37:27.684663;1767;2022-03-24T20:48:16.684663
Incendio doloso Casa;Claim;2022-02-17T20:35:21.684663;1770;2022-02-22T20:43:42.684663
Incendio doloso Auto;Claim;2022-10-02T20:32:32.684663;1773;2022-10-07T20:37:58.684663
Incendio doloso Auto;Claim;2022-03-10T20:34:39.685663;1776;
Incendio doloso Casa;Claim;2022-02-05T20:33:33.685663;1779;2022-02-10T20:40:04.685663
Furto in Casa;Claim;2022-12-13T20:34:54.685663;1782;2022-12-18T20:41:18.685663
Incendio doloso Casa;Claim;2022-10-16T20:37:35.685663;1785;2022-10-21T20:48:27.685663
Incidente Auto;Claim;2022-05-30T20:37:06.685663;1788;2022-06-04T20:47:31.685663
Incidente Auto;Claim;2022-08-11T20:34:33.685663;1791;
Incendio doloso Casa;Claim;2022-08-14T20:38:13.685663;1794;
Furto Auto;Claim;2022-08-28T20:35:26.685663;1797;2022-09-02T20:43:52.685663
Incendio doloso Casa;Claim;2022-01-31T20:32:32.686664;1800;
Furto Auto;Claim;2022-05-15T20:37:50.686664;1803;
Furto in Casa;Claim;2022-04-23T20:38:15.686664;1806;2022-04-28T20:49:14.686664
Incendio doloso Casa;Claim;2022-11-25T20:33:34.686664;1809;
Furto Auto;Claim;2022-08-22T20:35:44.686664;1812;2022-08-27T20:43:26.686664
Furto in Casa;Claim;2022-12-18T20:37:18.686664;1815;2022-12-23T20:45:28.686664
Incendio doloso Casa;Claim;2022-02-20T20:33:03.686664;1818;2022-02-25T20:43:59.686664
Incendio doloso Casa;Claim;2022-07-04T20:38:11.686664;1821;2022-07-09T20:44:25.686664
Incendio doloso Casa;Claim;2022-04-19T20:38:02.686664;1824;2022-04-24T20:47:00.686664
Incidente Auto;Claim;2022-03-15T20:34:27.687665;1827;2022-03-20T20:41:48.687665
Incendio doloso Casa;Claim;2022-11-14T20:32:31.687665;1830;2022-11-19T20:40:55.687665
Incendio doloso Casa;Claim;2022-06-11T20:37:18.687665;1833;2022-06-16T20:47:20.687665
Incendio doloso Casa;Claim;2022-10-21T20:32:23.688065;1835;2022-10-26T20:42:26.688065
Incidente Auto;Claim;2022-09-08T20:35:49.688065;1837;2022-09-13T20:46:34.688065
Incendio doloso Casa;Claim;2022-06-02T20:36:54.688065;1839;
Incendio doloso Casa;Claim;2022-06-18T20:33:33.688065;1841;
Furto Auto;Claim;2022-06-09T20:38:05.688065;1843;
Incidente Auto;Claim;2022-09-18T20:37:10.688065;1845;
Incendio doloso Casa;Claim;2022-11-06T20:37:36.688065;1847;
Incidente Auto;Claim;2022-12-15T20:38:18.688065;1849;2022-12-20T20:46:47.688065
Incidente Auto;Claim;2022-01-24T20:32:43.688065;1851;
Incendio doloso Casa;Claim;2022-01-31T20:37:59.689073;1853;2022-02-05T20:48:39.689073
Furto in Casa;Claim;2022-11-29T20:36:26.689073;1855;2022-12-04T20:46:39.689073
Incidente Auto;Claim;2022-04-04T20:36:29.689073;1857;
Incidente Auto;Claim;2022-06-05T20:36:46.689073;1858;
Incendio doloso Casa;Claim;2022-12-12T20:32:36.689073;1859;
Incendio doloso Casa;Claim;2022-12-12T20:34:54.689073;1860;
Furto Auto;Claim;2022-11-23T20:37:36.689073;1861;
Incidente Auto;Claim;2022-09-24T20:36:27.689073;1862;2022-09-29T20:42:56.689073
Incidente Auto;Claim;2022-12-04T20:34:38.689073;1863;2022-12-09T20:40:32.689073
Incendio doloso Auto;Claim;2022-10-31T20:34:26.689073;1864;2022-11-05T20:44:31.689073
Furto in Casa;Claim;2022-09-10T20:34:40.689073;1865;
Furto in Casa;Claim;2022-04-08T20:37:14.689073;1866;
Furto in Casa;Claim;2022-11-27T20:34:42.689073;1867;
Incendio doloso Casa;Claim;2022-06-16T20:32:47.690599;1868;
