open_date;type;:LABEL;closed_date;:ID
2022-08-03T20:59:57.306794;Incendio doloso Auto;Claim;2022-08-08T21:06:16.306794;1054
2022-02-28T21:02:35.308241;Furto Auto;Claim;;1057
2022-06-04T21:03:48.308241;Incendio doloso Casa;Claim;;1060
2022-04-03T20:59:13.308241;Furto in Casa;Claim;2022-04-08T21:09:18.308241;1063
2022-03-05T21:03:23.308241;Incidente Auto;Claim;2022-03-10T21:13:47.308241;1066
2022-10-10T21:02:29.308241;Furto Auto;Claim;2022-10-15T21:07:49.308241;1069
2022-02-17T20:58:32.308241;Incendio doloso Casa;Claim;;1072
2023-01-20T21:00:35.308241;Incidente Auto;Claim;2023-01-25T21:07:45.308241;1075
2022-02-18T21:03:17.308241;Incendio doloso Casa;Claim;2022-02-23T21:10:38.308241;1078
2022-07-25T21:02:38.309237;Incendio doloso Auto;Claim;2022-07-30T21:10:39.309237;1081
2022-12-21T21:00:43.309237;Furto in Casa;Claim;;1084
2022-03-04T21:03:16.309237;Incidente Auto;Claim;2022-03-09T21:11:40.309237;1087
2022-07-08T21:02:44.309237;Furto Auto;Claim;2022-07-13T21:10:23.309237;1090
2022-10-04T21:00:37.309237;Incendio doloso Auto;Claim;;1093
2022-07-09T20:58:47.309237;Incendio doloso Casa;Claim;;1095
2022-01-26T21:01:20.309237;Furto in Casa;Claim;2022-01-31T21:07:08.309237;1097
2022-07-06T21:02:02.309237;Incidente Auto;Claim;;1099
2023-01-17T20:58:29.309237;Incidente Auto;Claim;2023-01-22T21:05:22.309237;1101
2022-08-05T21:03:13.310237;Furto Auto;Claim;2022-08-10T21:11:54.310237;1103
2022-05-15T21:01:05.310237;Furto Auto;Claim;2022-05-20T21:08:27.310237;1105
2022-12-06T20:59:53.310237;Incendio doloso Casa;Claim;;1107
2022-08-20T20:58:32.310237;Incendio doloso Auto;Claim;;1109
2022-04-05T21:01:42.310237;Furto Auto;Claim;;1111
2022-07-27T21:01:48.310237;Furto in Casa;Claim;2022-08-01T21:12:32.310237;1112
2022-10-12T20:59:13.310237;Incendio doloso Auto;Claim;2022-10-17T21:08:42.310237;1113
2022-03-15T21:02:16.310237;Furto in Casa;Claim;2022-03-20T21:12:46.310237;1114
2022-02-04T20:59:25.310237;Incendio doloso Casa;Claim;2022-02-09T21:07:15.310237;1115
2022-11-04T21:02:50.311237;Incidente Auto;Claim;;1116
2022-05-09T20:59:46.311237;Incendio doloso Casa;Claim;2022-05-14T21:06:59.311237;1117
2022-02-05T21:03:25.311237;Incidente Auto;Claim;;1118
2022-12-09T20:59:57.311237;Incendio doloso Auto;Claim;2022-12-14T21:09:54.311237;1119
